	501_1136.21	447_1125.06	419_1145.49	525_1144.63	avg	CatSel	CatCombSel
lin_cont6+lin_cont12	20	29	17	32	24.5		
cat11_cat25	25	25	22	25	24.25		
cat12_cat23	31	16	24	26	24.25		
cat76_cat57	19	22	25	31	24.25		
cat80_cat7	26	22	20	29	24.25		
cat103_cat38	25	17	29	25	24		
cat79_cat23	32	30	17	17	24		
cat1_cat11	26	21	17	31	23.75		
cat72_cat4	20	28	22	25	23.75		
cat10_cat25	22	26	15	31	23.5		
cat3_cat13	24	27	22	20	23.25		
cont4	19	26	30	18	23.25		
cont8	23	23	24	23	23.25		
cat11_cat12	27	18	27	20	23		
cat81_cat9	26	36	22	8	23		
cat29	30	17	20	24	22.75		
cat72_cat5	29	17	23	22	22.75		
cat81_cat36	22	15	19	35	22.75		
cat36_cat10	24	18	20	28	22.5		
cat2_cat3	17	20	27	25	22.25		
cat76_cat81	28	21	19	21	22.25		
cat36_cat4	32	20	18	18	22		
cat4_cat87	25	23	17	23	22		
cat50_cat13	23	20	24	21	22		
cat6_cat76	27	22	15	24	22		
cat81_cat38	24	17	22	25	22		
cat81_cat87	24	31	30	3	22		
cat11_cat38	20	25	19	23	21.75		
cat79_cat36	33	19	12	23	21.75		
cat1_cat25	24	24	12	26	21.5		
cat107	21	16	20	29	21.5		
cat40_cat2	32	14	21	19	21.5		
cat12_cat13	23	22	15	25	21.25		
cat36_cat38	28	18	17	22	21.25		
cat76_cat12	24	22	20	19	21.25		
cat103_cat36	22	10	27	25	21		
cat40_cat87	22	17	23	22	21		
cat73_cat23	26	15	16	27	21		
cat12_cat3	13	25	18	27	20.75		
cat111_cat23	20	17	19	26	20.5		
cat85_cat79	30	22	23	7	20.5		1
cat1_cat40	21	19	15	26	20.25		
cat10_cat23	22	19	19	21	20.25		
cat50_cat57	20	27	18	16	20.25		
cat6_cat4	22	14	24	21	20.25		
cat80_cat13	25	16	14	26	20.25		
cat105	15	16	24	24	19.75		
cat50_cat11	15	18	19	27	19.75		
cat80_cat11	24	18	16	21	19.75		
cat1_cat3	20	17	15	26	19.5		
cat79_cat3	29	20	11	18	19.5		
cat88	21	32	24	1	19.5		
cat9_cat87	30	22	24	2	19.5		
cat16_cat57	23	15	19	20	19.25		1
cat79_cat57	23	19	15	20	19.25		
cat111_cat57	17	22	16	21	19		
cat13_cat57	13	18	19	26	19		
cat24_cat87	17	18	21	20	19		
cat4_cat13	19	13	20	24	19		
cat80_cat23	21	16	15	24	19		
lin_cont7-lin_cont8	8	24	21	23	19		
cat79_cat11	19	20	19	17	18.75		
cat81_cat25	21	14	15	25	18.75		
cat96	12	13	15	35	18.75		
cat1_cat13	20	13	15	26	18.5		
cat38_cat13	14	18	27	15	18.5		
cat4_cat38	23	15	18	16	18		
cat24_cat40	21	19	10	21	17.75		
cat24_cat81	20	16	16	19	17.75		
cat6_cat3	14	19	16	22	17.75		
cat73_cat38	14	21	13	23	17.75		
cat76_cat50	12	19	18	22	17.75		
cat111_cat7	20	15	16	19	17.5		
cat24_cat28	20	15	24	11	17.5		1
cat28_cat13	19	16	16	19	17.5		
cat4_cat9	20	11	15	24	17.5		
cat6_cat7	22	16	18	14	17.5		
cat80_cat40	26	11	12	21	17.5		
cat81_cat23	17	17	19	17	17.5		
lin_cont7+lin_cont8	13	13	21	23	17.5		
cat10_cat12	16	11	21	21	17.25		
cat11_cat23	21	18	14	16	17.25		
cat111_cat40	15	17	20	17	17.25		
cat7_cat3	13	24	18	14	17.25		
cat85_cat103	16	21	31	1	17.25		
cat28_cat2	19	16	10	23	17		
cat74	20	20	10	18	17		
cat73_cat28	22	13	13	19	16.75		
cont6	12	12	4	39	16.75		
cat10_cat11	15	13	18	20	16.5		
cat111_cat25	20	12	17	17	16.5		
cat23_cat25	12	23	19	12	16.5		
lin_cont2+lin_cont6	22	16	12	16	16.5		
cat10_cat57	14	15	15	21	16.25		
cat6_cat5	16	19	13	17	16.25		
cat9_cat5	25	24	15	1	16.25		
lin_cont4+lin_cont6	22	15	14	14	16.25		
cat3_cat57	17	19	17	11	16		
cat4_cat12	21	15	12	16	16		
cat50_cat40	17	9	12	26	16		
cat9_cat28	25	11	13	15	16		
lin_cont3+lin_cont6	15	24	14	11	16		
cat72_cat28	22	8	17	16	15.75		
cat72_cat7	13	16	18	16	15.75		
cat76_cat23	14	19	12	18	15.75		
lin_cont4-lin_cont6	25	8	16	14	15.75		
cat1_cat28	12	17	17	16	15.5		
cat1_cat4	13	20	15	14	15.5		
cat11_cat5	13	21	12	16	15.5		
cat5_cat87	18	13	11	20	15.5		
cat76_cat10	11	18	12	21	15.5		
cat80_cat25	13	9	20	20	15.5		
cat80_cat90	23	9	14	16	15.5		
cat81_cat12	22	14	12	14	15.5		
cat85_cat73	13	13	9	27	15.5		
cat115	20	15	14	12	15.25		
cat23_cat5	15	13	15	18	15.25		
cat24_cat12	19	14	16	12	15.25		
cat25_cat3	20	13	12	16	15.25		
cat28_cat3	12	13	11	25	15.25		
cat36_cat3	16	17	18	10	15.25		
cat85_cat111	30	12	14	5	15.25		
cont11	24	13	15	9	15.25		
cat1_cat24	16	15	13	16	15		
cat1_cat5	22	16	10	12	15		
cat28_cat87	19	14	9	18	15		
cat9_cat40	15	20	23	2	15		
cat40_cat12	12	15	13	19	14.75		
cat73_cat4	15	21	6	17	14.75		
cat76_cat3	18	13	14	14	14.75		
cat80_cat5	16	11	13	19	14.75		
cat9_cat3	29	9	19	2	14.75		
cat10_cat3	20	6	15	17	14.5		
cat111_cat90	14	14	12	18	14.5		
cat50_cat5	16	10	13	19	14.5		
cat73_cat13	11	20	5	22	14.5		
cat106	9	19	16	13	14.25		
cat40_cat28	13	12	16	16	14.25		
cat71	12	16	12	17	14.25		
cat73_cat11	13	14	12	18	14.25		
cat79_cat40	15	13	11	17	14		
cat1_cat90	20	8	14	13	13.75		
cat11_cat57	22	9	12	12	13.75		
cat73_cat3	9	11	16	19	13.75		
cat79_cat38	15	12	11	17	13.75		
lin_cont3-lin_cont6	16	10	17	12	13.75		
lin_cont7+lin_cont10	12	16	13	14	13.75		
cat10_cat13	13	12	12	17	13.5		
cat50_cat4	16	15	11	12	13.5		
cat7_cat2	18	13	14	9	13.5		
cat73_cat25	9	19	14	12	13.5		
cat76_cat13	14	15	9	16	13.5		
cat79_cat25	14	15	9	16	13.5		
cat79_cat4	17	11	9	17	13.5		
cat81_cat11	11	14	11	18	13.5		
cat9_cat35	2	0	1	51	13.5		
cat40_cat10	16	14	12	11	13.25		
cat45	7	14	17	15	13.25		
cont5	7	15	16	15	13.25		
lin_cont7-lin_cont11	20	14	13	6	13.25		
lin_cont7+lin_cont12	10	11	18	14	13.25		
cat111_cat16	13	16	14	9	13		
cat38_cat57	15	13	14	10	13		
cat50_cat3	13	12	7	20	13		
cat72_cat90	14	18	9	11	13		
cat73_cat5	17	12	9	14	13		
cat76_cat38	11	11	15	15	13		
cat80_cat28	12	12	13	15	13		
cat81_cat40	19	12	10	11	13		
cat103_cat7	11	12	17	11	12.75		
cat111_cat28	12	13	8	18	12.75		
cat40_cat23	9	15	11	16	12.75		
lin_cont7-lin_cont12	2	9	25	15	12.75		
cat103_cat28	13	12	9	16	12.5		
cat6_cat40	7	15	10	18	12.5		
cat76_cat11	14	7	12	17	12.5		
cat76_cat40	14	9	9	18	12.5		
cat79_cat7	14	8	17	11	12.5		
cat87_cat90	9	10	6	25	12.5		
cat7_cat12	8	15	10	16	12.25		
cat76_cat7	11	23	5	10	12.25		
lin_cont7-lin_cont10	8	15	11	15	12.25		
cat103_cat40	13	15	8	12	12		
cat4_cat10	11	17	12	8	12		
cat61	15	8	8	17	12		
cat80_cat16	11	11	8	18	12		
cat50_cat28	14	14	7	12	11.75		
cat6_cat85	16	11	9	11	11.75		
cat73_cat7	8	9	19	11	11.75		
cat76_cat1	15	15	5	12	11.75		
cat103_cat16	13	10	12	11	11.5		
cat80_cat24	11	8	10	17	11.5		
cat81_cat13	12	10	9	15	11.5		
lin_cont7+lin_cont11	25	5	8	8	11.5		
cat1_cat16	16	8	9	12	11.25		
cat12_cat5	12	14	7	12	11.25		
cat76_cat25	9	11	11	14	11.25		
cat81_cat5	12	9	12	12	11.25		
cat9_cat10	13	12	13	7	11.25		
cat10_cat5	9	19	11	5	11		
cat103_cat90	17	13	5	9	11		
cat24_cat2	10	13	11	10	11		
cat46_cat79	13	10	11	10	11		1
cat76_cat36	15	10	10	9	11		
cat81_cat7	4	5	7	28	11		
cat9_cat12	17	11	7	9	11		
cat23_cat3	12	13	6	12	10.75		
cat7_cat10	13	8	7	15	10.75		
cat73_cat90	14	7	8	14	10.75		
cat81_cat10	15	8	6	14	10.75		
cat81_cat28	10	9	12	12	10.75		
cat87_cat89	4	11	13	15	10.75		1
cat25_cat57	8	17	12	5	10.5		
cat50_cat7	11	4	10	17	10.5		
cat7_cat11	13	11	9	9	10.5		
cat79_cat5	11	13	7	11	10.5		
cat80_cat38	13	9	10	10	10.5		
cat80_cat4	13	11	10	8	10.5		
cat81_cat4	11	5	15	11	10.5		
lin_cont6+lin_cont9	30	2	3	7	10.5		
cat60_cat73	8	7	11	15	10.25		1
cat12_cat90	10	7	14	9	10		
cat2_cat90	6	6	16	12	10		
cat24_cat111	7	11	10	12	10		
cat24_cat72	8	10	11	11	10		
cat38_cat3	13	11	8	8	10		
cat81_cat89	2	2	3	33	10		
cat24_cat9	9	10	6	14	9.75		
cat6_cat28	14	6	3	16	9.75		
cat7_cat13	7	15	9	8	9.75		
cat9_cat22	1	0	0	38	9.75		1
cat36_cat13	12	9	6	11	9.5		
cat40_cat11	11	11	9	7	9.5		
cat40_cat3	9	8	8	12	9.25		
cat1_cat7	9	13	4	10	9		
cat12_cat28	6	10	8	12	9		
cat36_cat28	7	7	5	17	9		
cat6_cat14	6	11	12	7	9		1
cat6_cat16	8	3	15	10	9		
cat72_cat16	10	8	9	9	9		
cat76_cat28	7	7	8	14	9		
cat79_cat28	8	8	14	6	9		
cat85_cat81	15	7	8	6	9		
cat11_cat28	8	10	7	10	8.75		
cat40_cat13	9	7	10	9	8.75		
cat56	13	4	9	9	8.75		
cat81_cat3	11	8	6	10	8.75		
cat85_cat10	2	2	4	27	8.75		
cat36_cat40	14	9	4	7	8.5		
cat6_cat24	13	6	8	7	8.5		
cat80_cat89	8	12	7	7	8.5		
cat85_cat72	10	9	4	11	8.5		
cat9_cat47	1	2	2	29	8.5		1
cat2_cat57	6	8	5	14	8.25		
cat25_cat5	13	8	4	8	8.25		
cat47_cat57	6	9	9	9	8.25		
cat76_cat24	9	13	5	6	8.25		
cat76_cat85	10	4	9	10	8.25		
cat9_cat70	1	0	0	32	8.25		1
cat10_cat28	10	6	7	9	8		
cat34_cat57	8	5	4	15	8		1
cat76_cat5	3	9	11	9	8		
cat16_cat87	3	10	9	9	7.75		
cat36_cat57	9	3	11	8	7.75		
cat46_cat111	3	11	10	7	7.75		
cat79_cat24	6	11	8	6	7.75		
cat9_cat13	9	9	12	1	7.75		
cat1_cat14	4	6	7	13	7.5		
cat13_cat16	6	11	4	9	7.5		
cat13_cat90	10	6	8	6	7.5		
cat24_cat36	10	9	4	7	7.5		
cat50_cat16	11	9	3	7	7.5		
cat7_cat23	6	8	7	9	7.5		
cat78	10	6	7	7	7.5		
cat14_cat57	9	13	7	0	7.25		
cat24_cat50	6	7	9	7	7.25		
cat5_cat13	8	7	7	7	7.25		
cat7_cat38	5	8	7	9	7.25		
cat73_cat57	7	4	6	12	7.25		
cat79_cat90	8	5	8	8	7.25		
cat9_cat11	10	4	4	11	7.25		
cat24_cat10	6	7	10	5	7		
cat4_cat11	5	5	11	7	7		
cat7_cat16	8	8	6	6	7		
cat76_cat90	11	5	4	8	7		
cat11_cat90	8	7	3	9	6.75		
lin_cont2-lin_cont6	21	1	2	3	6.75		
cat11_cat16	8	4	6	8	6.5		
cat36_cat7	5	7	7	7	6.5		
cat40_cat7	4	4	9	9	6.5		
cat6_cat90	6	8	9	3	6.5		
cat9_cat7	7	13	5	1	6.5		
cat10_cat16	5	7	6	7	6.25		
cat73_cat89	11	4	1	9	6.25		
cat103_cat57	10	4	2	8	6		
cat111_cat14	4	8	6	6	6		
cat14_cat87	6	6	4	8	6		
cat23_cat16	9	8	2	5	6		
cat4_cat3	5	2	10	7	6		
cat40_cat25	11	1	7	5	6		
cat55_cat57	8	3	6	7	6		1
cat7_cat90	9	4	3	8	6		
cat76_cat4	7	8	4	5	6		
cat80_cat85	4	5	8	7	6		
cat85_cat1	10	8	5	1	6		
cat23_cat28	5	5	4	9	5.75		
cat25_cat28	4	6	6	7	5.75		
cat36_cat90	6	5	6	6	5.75		
cat40_cat16	6	3	10	4	5.75		
cat59	5	10	1	7	5.75		
cat85_cat7	4	1	6	12	5.75		
cat104	6	2	11	3	5.5		
cat24_cat11	5	6	7	4	5.5		
cat24_cat13	5	8	6	3	5.5		
cat24_cat3	6	4	7	5	5.5		
cat38_cat90	5	9	5	3	5.5		
cat60_cat103	5	6	6	5	5.5		
cat7_cat25	4	9	6	3	5.5		
cat73_cat14	6	4	4	8	5.5		
cat9	2	0	3	17	5.5		
cat103_cat14	10	4	1	6	5.25		
cat12_cat16	7	4	4	6	5.25		
cat14_cat10	7	8	3	3	5.25		
cat46_cat81	8	3	4	6	5.25		
cat57_cat90	4	5	6	6	5.25		
cat7_cat28	4	6	3	8	5.25		
cat76_cat16	8	5	0	8	5.25		
cat79_cat14	9	6	5	1	5.25		
cat85_cat50	6	8	5	2	5.25		
cat17	2	3	4	11	5		
cat23_cat57	4	6	7	3	5		
cat24_cat38	2	8	5	5	5		
cat25_cat90	5	4	4	7	5		
cat4_cat57	4	2	5	9	5		
cat46_cat72	6	5	5	4	5		
cat73_cat16	10	2	3	5	5		
cat80_cat14	5	4	2	9	5		
cat85_cat11	2	2	0	16	5		
cat18	5	2	3	9	4.75		
cat23_cat90	4	4	8	3	4.75		
cat28_cat57	4	4	3	8	4.75		
cat35_cat57	8	6	3	2	4.75		
cat48_cat55	3	0	8	8	4.75		
cat73_cat46	3	7	5	4	4.75		
cat10_cat90	5	3	6	4	4.5		
cat25_cat16	7	1	2	8	4.5		
cat36_cat16	8	3	5	2	4.5		
cat48_cat57	3	4	6	5	4.5		
cat60_cat2	9	3	3	3	4.5		
cat85_cat9	7	6	4	1	4.5		
cat103_cat89	1	6	6	4	4.25		
cat16_cat89	2	3	5	7	4.25		
cat19	6	3	1	7	4.25		
cat24_cat5	6	4	3	4	4.25		
cat28_cat38	8	3	3	3	4.25		
cat33	8	8	0	1	4.25		
cat40_cat57	3	6	3	5	4.25		
cat40_cat90	3	7	3	4	4.25		
cat60_cat1	2	8	2	5	4.25		
cat60_cat81	3	2	3	9	4.25		
cat60_cat9	5	6	4	2	4.25		
cat72_cat57	6	4	1	6	4.25		
cat73_cat15	3	3	7	4	4.25		
cat1_cat63	4	6	4	2	4		
cat28_cat16	2	6	4	4	4		
cat28_cat90	3	7	4	2	4		
cat4_cat40	1	7	4	4	4		
cat46_cat1	3	4	4	5	4		
cat50_cat14	2	5	5	4	4		
cat50_cat89	3	2	7	4	4		
cat79_cat16	8	3	1	4	4		
cat9_cat69	2	1	0	13	4		
cat111_cat34	6	2	4	3	3.75		
cat14_cat40	4	3	4	4	3.75		
cat14_cat9	1	3	4	7	3.75		
cat40_cat38	5	7	1	2	3.75		
cat46_cat103	3	6	2	4	3.75		
cat46_cat57	3	5	5	2	3.75		
cat50_cat90	3	1	4	7	3.75		
cat73_cat68	4	2	3	6	3.75		
cat81_cat57	5	2	0	8	3.75		
cat85_cat13	3	4	5	3	3.75		
cat85_cat5	3	1	2	9	3.75		
cat85_cat87	3	5	6	1	3.75		
cat9_cat57	6	5	4	0	3.75		
cat1_cat22	3	5	2	4	3.5		
cat1_cat89	4	4	4	2	3.5		
cat11_cat89	5	4	1	4	3.5		
cat14_cat23	8	1	1	4	3.5		
cat14_cat3	6	2	3	3	3.5		
cat24_cat23	7	5	0	2	3.5		
cat28_cat5	4	2	3	5	3.5		
cat38_cat16	5	3	4	2	3.5		
cat40_cat89	1	5	6	2	3.5		
cat46_cat38	5	4	3	2	3.5		
cat47_cat87	4	4	4	2	3.5		
cat5_cat16	3	5	2	4	3.5		
cat6_cat89	3	5	5	1	3.5		
cat60_cat24	5	3	3	3	3.5		
cat73_cat47	5	2	4	3	3.5		
cat76_cat89	4	5	3	2	3.5		
cat79_cat89	2	9	1	2	3.5		
cat85_cat16	2	4	2	6	3.5		
cat85_cat40	1	11	2	0	3.5		
cat85_cat57	3	4	6	1	3.5		
cat10_cat89	5	3	3	2	3.25		
cat12_cat89	3	4	2	4	3.25		
cat14_cat12	6	1	2	4	3.25		
cat14_cat36	4	2	3	4	3.25		
cat47_cat2	2	5	5	1	3.25		
cat72_cat14	7	2	2	2	3.25		
cat72_cat89	5	4	2	2	3.25		
cat73_cat63	1	6	4	2	3.25		
cat85_cat36	6	1	3	3	3.25		
cat85_cat90	4	2	3	4	3.25		
cat111_cat89	3	6	1	2	3		
cat2_cat16	5	1	3	3	3		
cat2_cat89	3	3	4	2	3		
cat38_cat89	1	3	3	5	3		
cat46_cat87	0	8	3	1	3		
cat46_cat9	4	2	3	3	3		
cat55_cat90	3	2	2	5	3		
cat73_cat69	3	3	3	3	3		
cat85_cat12	5	2	3	2	3		
cat85_cat22	0	4	2	6	3		
cat86	5	1	5	1	3		
cat87	0	2	0	10	3		
cat1_cat20	1	3	2	5	2.75		
cat1_cat57	2	4	3	2	2.75		
cat13_cat89	6	0	0	5	2.75		
cat14_cat11	1	4	2	4	2.75		
cat14_cat13	4	4	2	1	2.75		
cat24_cat57	5	3	0	3	2.75		
cat24_cat90	2	4	4	1	2.75		
cat3_cat5	5	4	2	0	2.75		
cat46_cat12	4	4	2	1	2.75		
cat46_cat40	2	3	3	3	2.75		
cat50_cat34	4	1	5	1	2.75		
cat81_cat16	5	3	2	1	2.75		
cat9_cat16	2	5	4	0	2.75		
cat14_cat16	1	4	2	3	2.5		
cat24_cat25	2	0	3	5	2.5		
cat36_cat89	1	3	2	4	2.5		
cat46_cat28	0	4	2	4	2.5		
cat60_cat111	1	1	2	6	2.5		
cat60_cat79	1	3	2	4	2.5		
cat72_cat47	2	0	3	5	2.5		
cat72_cat55	2	4	0	4	2.5		
cat73	3	3	3	1	2.5		
cat81_cat14	2	4	2	2	2.5		
cat81_cat34	1	2	3	4	2.5		
cat81_cat47	5	2	3	0	2.5		
cat85_cat24	4	2	1	3	2.5		
cat85_cat4	1	3	4	2	2.5		
cat85_cat47	0	3	3	4	2.5		
cat9_cat55	1	1	2	6	2.5		
cat1_cat34	2	4	1	2	2.25		
cat103_cat47	3	4	0	2	2.25		
cat111_cat47	5	2	0	2	2.25		
cat14_cat38	3	3	1	2	2.25		
cat2_cat55	3	2	1	3	2.25		
cat24_cat16	3	2	2	2	2.25		
cat25_cat34	2	2	2	3	2.25		
cat28_cat89	1	1	2	5	2.25		
cat4_cat16	5	2	0	2	2.25		
cat4_cat90	4	0	4	1	2.25		
cat46_cat50	4	1	2	2	2.25		
cat60_cat50	3	2	3	1	2.25		
cat85_cat2	4	5	0	0	2.25		
cat85_cat3	5	1	2	1	2.25		
cat85_cat38	1	4	3	1	2.25		
cat9_cat34	1	5	1	2	2.25		
cat9_cat89	3	1	0	5	2.25		
cat1_cat68	2	2	2	2	2		
cat1_cat69	3	1	1	3	2		
cat103_cat48	0	2	2	4	2		
cat14_cat7	1	2	4	1	2		
cat23_cat34	2	2	0	4	2		
cat24_cat7	1	1	3	3	2		
cat24_cat89	2	1	3	2	2		
cat25_cat89	2	3	2	1	2		
cat34_cat87	3	3	1	1	2		
cat46_cat11	2	1	2	3	2		
cat46_cat2	4	2	1	1	2		
cat46_cat3	3	3	0	2	2		
cat55_cat62	4	0	0	4	2		
cat6_cat68	1	1	4	2	2		
cat60_cat22	2	2	1	3	2		
cat60_cat63	1	4	3	0	2		
cat73_cat34	0	1	5	2	2		
cat73_cat58	4	0	3	1	2		
cat76_cat14	1	1	3	3	2		
cat76_cat46	3	2	0	3	2		
cat76_cat47	4	2	1	1	2		
cat80_cat60	1	4	1	2	2		
cat85_cat14	1	1	4	2	2		
cat85_cat28	1	5	0	2	2		
cat85_cat34	3	1	2	2	2		
cat89_cat90	3	4	0	1	2		
cat1	2	1	1	3	1.75		
cat1_cat47	1	2	3	1	1.75		
cat103	2	2	2	1	1.75		
cat103_cat55	2	1	2	2	1.75		
cat111_cat55	2	4	0	1	1.75		
cat14_cat28	1	2	3	1	1.75		
cat2_cat35	1	2	1	3	1.75		
cat36_cat47	2	2	1	2	1.75		
cat46_cat10	2	1	0	4	1.75		
cat46_cat90	3	0	2	2	1.75		
cat48_cat2	2	1	3	1	1.75		
cat5_cat57	1	1	4	1	1.75		
cat6_cat46	1	2	3	1	1.75		
cat72_cat34	2	2	3	0	1.75		
cat73_cat22	5	0	1	1	1.75		
cat73_cat35	2	1	1	3	1.75		
cat73_cat48	2	1	4	0	1.75		
cat76_cat48	2	3	1	1	1.75		
cat79_cat34	2	1	1	3	1.75		
cat1_cat15	3	0	2	1	1.5		
cat111_cat69	0	2	2	2	1.5		
cat14_cat25	3	1	1	1	1.5		
cat14_cat89	1	4	1	0	1.5		
cat25_cat47	1	2	1	2	1.5		
cat3_cat89	1	0	2	3	1.5		
cat34_cat47	5	1	0	0	1.5		
cat38_cat47	0	3	2	1	1.5		
cat48_cat87	1	0	4	1	1.5		
cat5_cat90	2	2	2	0	1.5		
cat50_cat68	1	2	2	1	1.5		
cat57_cat64	1	1	2	2	1.5		
cat57_cat89	4	1	0	1	1.5		
cat6_cat70	1	3	1	1	1.5		
cat60_cat40	0	1	0	5	1.5		
cat60_cat72	3	0	1	2	1.5		
cat63_cat68	1	4	1	0	1.5		
cat7_cat5	1	1	0	4	1.5		
cat76_cat60	1	3	0	2	1.5		
cat76_cat69	1	1	3	1	1.5		
cat79_cat47	2	2	2	0	1.5		
cat80	2	4	0	0	1.5		
cat81	0	2	2	2	1.5		
cat81_cat48	2	1	2	1	1.5		
cat85_cat23	1	0	5	0	1.5		
cat85_cat25	3	1	0	2	1.5		
cat1_cat48	2	2	1	0	1.25		
cat103_cat34	2	2	1	0	1.25		
cat103_cat69	2	1	1	1	1.25		
cat111	1	1	1	2	1.25		
cat14_cat35	4	1	0	0	1.25		
cat14_cat5	0	2	1	2	1.25		
cat2_cat68	0	1	3	1	1.25		
cat2_cat69	1	0	0	4	1.25		
cat23_cat89	1	1	1	2	1.25		
cat24_cat14	2	2	0	1	1.25		
cat28_cat35	2	3	0	0	1.25		
cat46_cat23	2	0	0	3	1.25		
cat46_cat24	1	3	0	1	1.25		
cat47_cat16	1	3	0	1	1.25		
cat48_cat10	2	0	2	1	1.25		
cat48_cat35	2	2	1	0	1.25		
cat48_cat40	1	0	1	3	1.25		
cat55_cat89	0	1	3	1	1.25		
cat57_cat62	2	1	2	0	1.25		
cat57_cat69	1	2	1	1	1.25		
cat57_cat70	2	1	0	2	1.25		
cat58_cat57	1	2	0	2	1.25		
cat58_cat87	0	1	1	3	1.25		
cat6_cat34	2	0	1	2	1.25		
cat6_cat60	3	0	1	1	1.25		
cat6_cat69	1	1	2	1	1.25		
cat60_cat11	1	0	2	2	1.25		
cat68_cat87	3	0	0	2	1.25		
cat76_cat58	1	1	0	3	1.25		
cat76_cat68	1	0	1	3	1.25		
cat81_cat64	0	0	1	4	1.25		
cat81_cat69	1	1	1	2	1.25		
cat1_cat62	3	0	0	1	1		
cat103_cat20	2	0	0	2	1		
cat14_cat4	2	1	0	1	1		
cat14_cat55	0	0	4	0	1		
cat14_cat90	3	0	1	0	1		
cat22_cat68	0	1	2	1	1		
cat25_cat55	2	0	2	0	1		
cat28_cat34	1	0	2	1	1		
cat28_cat69	2	0	1	1	1		
cat34_cat2	1	1	2	0	1		
cat34_cat3	0	1	2	1	1		
cat34_cat55	1	1	1	1	1		
cat34_cat90	1	1	1	1	1		
cat36_cat48	0	2	0	2	1		
cat4_cat7	0	1	2	1	1		
cat4_cat89	1	1	2	0	1		
cat40_cat55	1	2	1	0	1		
cat40_cat68	2	1	0	1	1		
cat46_cat16	2	1	0	1	1		
cat46_cat22	1	2	1	0	1		
cat46_cat4	1	1	1	1	1		
cat46_cat7	1	1	0	2	1		
cat47_cat13	1	1	0	2	1		
cat47_cat3	2	0	1	1	1		
cat48_cat13	1	0	2	1	1		
cat55_cat68	1	0	0	3	1		
cat55_cat87	2	1	0	1	1		
cat58_cat16	0	4	0	0	1		
cat58_cat63	0	0	4	0	1		
cat6_cat48	0	1	3	0	1		
cat60_cat12	2	1	0	1	1		
cat60_cat57	1	2	1	0	1		
cat60_cat87	1	1	1	1	1		
cat7_cat47	0	1	1	2	1		
cat72_cat69	2	0	2	0	1		
cat76_cat20	1	2	1	0	1		
cat80_cat58	0	3	1	0	1		
cat80_cat69	2	1	0	1	1		
cat85_cat46	0	2	1	1	1		
cat85_cat89	3	1	0	0	1		
cat9_cat58	0	2	1	1	1		
cat9_cat68	2	0	1	1	1		
cat10_cat34	1	1	1	0	0.75		
cat103_cat68	0	0	1	2	0.75		
cat11_cat34	0	1	0	2	0.75		
cat11_cat47	1	1	0	1	0.75		
cat111_cat48	2	0	0	1	0.75		
cat111_cat58	2	0	1	0	0.75		
cat12_cat68	1	0	0	2	0.75		
cat14_cat48	1	2	0	0	0.75		
cat16_cat55	0	2	0	1	0.75		
cat2	1	1	0	1	0.75		
cat22_cat89	2	0	1	0	0.75		
cat23_cat47	1	0	1	1	0.75		
cat23_cat69	1	2	0	0	0.75		
cat24_cat22	1	1	1	0	0.75		
cat24_cat58	0	1	1	1	0.75		
cat24_cat69	0	3	0	0	0.75		
cat28_cat20	0	0	1	2	0.75		
cat3_cat35	2	0	1	0	0.75		
cat34_cat35	1	2	0	0	0.75		
cat36_cat58	0	1	1	1	0.75		
cat36_cat69	0	1	0	2	0.75		
cat38_cat63	0	0	1	2	0.75		
cat40_cat22	0	0	0	3	0.75		
cat40_cat35	1	0	1	1	0.75		
cat46_cat14	1	2	0	0	0.75		
cat46_cat36	1	0	0	2	0.75		
cat46_cat58	2	0	0	1	0.75		
cat47_cat68	2	0	0	1	0.75		
cat47_cat90	1	0	1	1	0.75		
cat48_cat3	3	0	0	0	0.75		
cat48_cat38	0	0	2	1	0.75		
cat48_cat9	1	1	1	0	0.75		
cat48_cat90	0	0	3	0	0.75		
cat50_cat47	1	0	2	0	0.75		
cat50_cat70	0	1	1	1	0.75		
cat58_cat10	1	0	0	2	0.75		
cat58_cat22	0	0	3	0	0.75		
cat58_cat3	1	0	0	2	0.75		
cat6	1	0	0	2	0.75		
cat6_cat20	2	0	0	1	0.75		
cat6_cat35	1	1	0	1	0.75		
cat6_cat47	0	3	0	0	0.75		
cat6_cat50	0	1	1	1	0.75		
cat60_cat14	1	1	1	0	0.75		
cat60_cat25	2	0	0	1	0.75		
cat60_cat46	2	0	1	0	0.75		
cat62_cat90	2	1	0	0	0.75		
cat68_cat90	0	2	1	0	0.75		
cat69_cat87	0	2	0	1	0.75		
cat73_cat20	1	1	0	1	0.75		
cat73_cat55	1	1	1	0	0.75		
cat76_cat34	0	0	3	0	0.75		
cat76_cat62	2	0	0	1	0.75		
cat79_cat48	1	1	0	1	0.75		
cat79_cat68	0	2	0	1	0.75		
cat79_cat69	2	1	0	0	0.75		
cat80_cat20	0	1	0	2	0.75		
cat80_cat34	2	0	0	1	0.75		
cat80_cat46	0	2	0	1	0.75		
cat80_cat47	1	1	1	0	0.75		
cat80_cat48	0	3	0	0	0.75		
cat80_cat63	3	0	0	0	0.75		
cat81_cat35	2	0	1	0	0.75		
cat81_cat58	2	1	0	0	0.75		
cat85_cat63	0	1	1	1	0.75		
