	501_1136.21	447_1125.06	419_1145.49	525_1144.63	avg	CatSel	CatCombSel
lin_cont5/lin_cont6	138	194	163	196	172.75		
lin_cont9/lin_cont11	182	161	169	179	172.75		
lin_cont3/lin_cont12	90	197	171	226	171		
lin_cont5*lin_cont7	188	150	134	210	170.5		
lin_cont9-lin_cont12	165	157	146	210	169.5		
lin_cont4-lin_cont14	111	178	185	200	168.5		
cat80_cat81	192	150	150	181	168.25		1
cat73_cat1	178	168	166	153	166.25		1
lin_cont8*lin_cont14	455	70	77	63	166.25		
lin_cont5+lin_cont12	159	152	167	183	165.25		
lin_cont6+lin_cont14	342	87	112	119	165		
lin_cont1-lin_cont13	142	153	145	217	164.25		
lin_cont5+lin_cont8	189	135	149	183	164		
lin_cont9-lin_cont10	168	163	164	160	163.75		
cat72_cat111	173	161	120	200	163.5		
lin_cont3*lin_cont9	280	121	91	154	161.5		
lin_cont9-lin_cont11	176	153	142	175	161.5		
lin_cont1-lin_cont9	187	174	196	84	160.25		
lin_cont8-lin_cont10	190	143	133	173	159.75		
lin_cont1-lin_cont11	169	157	163	149	159.5		
lin_cont5*lin_cont14	308	102	89	137	159		
lin_cont9-lin_cont13	176	145	142	170	158.25		
lin_cont3/lin_cont8	144	166	148	171	157.25		
lin_cont8+lin_cont9	111	160	175	179	156.25		
lin_cont1*lin_cont3	319	106	97	102	156		
lin_cont5/lin_cont9	95	171	194	159	154.75		
lin_cont5+lin_cont10	164	159	141	150	153.5		
lin_cont8+lin_cont13	125	173	169	142	152.25		
cat6_cat103	151	159	134	161	151.25		1
lin_cont7*lin_cont10	193	140	112	160	151.25		
lin_cont4*lin_cont7	232	122	113	135	150.5		
lin_cont2/lin_cont9	352	83	70	96	150.25		
lin_cont5+lin_cont11	156	134	156	155	150.25		
lin_cont10-lin_cont12	129	156	146	168	149.75		
lin_cont5-lin_cont7	24	181	202	190	149.25		
lin_cont2/lin_cont4	203	110	146	137	149		
lin_cont3+lin_cont4	150	146	143	154	148.25		
lin_cont4-lin_cont12	107	171	154	161	148.25		
lin_cont8/lin_cont12	120	147	141	184	148		
lin_cont4/lin_cont12	102	166	157	166	147.75		
lin_cont11+lin_cont14	142	145	146	157	147.5		
lin_cont11-lin_cont13	167	142	125	155	147.25		
lin_cont5*lin_cont6	103	131	152	201	146.75		
lin_cont3/lin_cont5	106	158	152	162	144.5		
lin_cont5+lin_cont7	31	188	169	190	144.5		
lin_cont12+lin_cont14	75	143	181	178	144.25		
lin_cont7+lin_cont9	20	182	187	187	144		
lin_cont8-lin_cont13	198	121	120	136	143.75		
cat6_cat111	142	157	140	135	143.5		
lin_cont5+lin_cont13	164	120	118	172	143.5		
lin_cont7-lin_cont9	19	166	184	204	143.25		
cat92	162	139	115	155	142.75		
cat26	134	146	147	137	141		
lin_cont1-lin_cont12	144	138	113	169	141		
lin_cont3*lin_cont11	157	127	137	143	141		
lin_cont2+lin_cont14	77	163	139	180	139.75		
lin_cont8-lin_cont11	166	127	145	121	139.75		
lin_cont3/lin_cont7	234	114	105	102	138.75		
cat80_cat79	150	129	116	155	137.5		1
cat83	137	139	124	150	137.5		
lin_cont3-lin_cont4	120	131	128	171	137.5		
lin_cont4+lin_cont9	100	150	117	181	137		
lin_cont7*lin_cont11	148	135	134	131	137		
lin_cont10-lin_cont11	158	105	135	147	136.25		
lin_cont1/lin_cont9	419	45	40	40	136		
lin_cont1-lin_cont8	110	126	112	194	135.5		
lin_cont3+lin_cont9	76	142	139	185	135.5		
lin_cont4/lin_cont10	131	140	136	135	135.5		
cat27	136	127	132	146	135.25		
lin_cont4+lin_cont14	106	133	126	172	134.25		
lin_cont4-lin_cont7	11	166	172	187	134		
cat37	137	127	130	140	133.5		
lin_cont3/lin_cont9	195	111	103	125	133.5		
lin_cont4-lin_cont8	229	96	101	104	132.5		
lin_cont9+lin_cont13	75	144	127	184	132.5		
lin_cont3+lin_cont14	104	132	135	148	129.75		
lin_cont5-lin_cont8	181	105	103	129	129.5		
lin_cont1/lin_cont4	191	94	100	131	129		
lin_cont4/lin_cont9	171	111	133	97	128		
lin_cont11-lin_cont12	61	144	132	174	127.75		
lin_cont4*lin_cont5	113	135	121	141	127.5		
lin_cont5-lin_cont10	141	129	123	117	127.5		
lin_cont5-lin_cont13	178	116	107	106	126.75		
lin_cont5-lin_cont12	101	134	122	147	126		
lin_cont7+lin_cont14	462	16	14	11	125.75		
lin_cont5/lin_cont8	245	87	70	100	125.5		
lin_cont4-lin_cont13	162	105	126	108	125.25		
lin_cont1*lin_cont6	81	158	119	139	124.25		
cat31	131	119	123	122	123.75		
cat93	157	136	138	59	122.5		
lin_cont10/lin_cont14	337	47	56	49	122.25		
cat1_cat111	126	101	112	149	122		
cat79_cat103	113	86	121	166	121.5		
lin_cont12/lin_cont14	280	56	68	80	121		
lin_cont3/lin_cont10	140	114	113	117	121		
lin_cont2-lin_cont14	64	147	116	153	120		
lin_cont3/lin_cont4	108	121	127	123	119.75		
lin_cont1+lin_cont9	49	136	126	162	118.25		
lin_cont8-lin_cont14	110	118	97	148	118.25		
cat111_cat2	103	113	140	115	117.75		1
cat79_cat111	117	109	126	119	117.75		
cat50_cat111	122	111	121	114	117		1
lin_cont8+lin_cont14	131	112	101	124	117		
lin_cont1-lin_cont10	116	96	97	158	116.75		
lin_cont4-lin_cont10	163	101	108	95	116.75		
lin_cont9/lin_cont14	344	44	43	34	116.25		
cat75	126	102	113	121	115.5		
lin_cont2-lin_cont4	95	109	126	131	115.25		
lin_cont5/lin_cont12	77	110	109	163	114.75		
cat49	123	100	109	126	114.5		
lin_cont4*lin_cont12	80	100	134	141	113.75		
cat73_cat81	111	105	114	123	113.25		
